name,country,property_type,price,room_type,bedrooms,beds,accommodates,cancellation_policy,number_of_reviews,minimum_nights,extra_people,maximum_nights,guests_include,review_scores_cleanliness,last_scraped,host_name,host_listings_count,calendar_last_scraped,availability_365,latitude,longitude
Relaxed and comfortable,Hong Kong,Apartment,385,Entire home/apt,2,2,5,strict_14_with_grace_period,1,1,314,1125,1,10.0,2019-03-11,Kathy,1,2019-03-11,90,114.18791,22.51962
"Bright 1 bedroom, Sagrada Familia, long term¦",Spain,Apartment,100,Entire home/apt,1,1,2,strict_14_with_grace_period,3,32,0,1125,1,10.0,2019-03-08,Stay U-Nique,98,2019-03-08,249,2.17762,41.40782
Terrace and pool apartment near the Barcelona,Spain,Apartment,110,Entire home/apt,3,9,10,strict_14_with_grace_period,5,1,22,1125,2,9.0,2019-03-08,Apartment Barcelona,56,2019-03-08,301,2.16011,41.40502
Beautiful bay view Apartment.,Australia,Apartment,65,Private room,1,1,2,strict_14_with_grace_period,4,3,0,12,1,10.0,2019-03-07,Jake,2,2019-03-07,0,151.18243,-33.87329
2 habitaciones en piso bonito y bien situado,Spain,Apartment,56,Private room,2,4,4,flexible,21,2,0,6,1,9.0,2019-03-08,Tati,1,2019-03-08,329,2.13806,41.40144
SUITES MAJESTIC,Brazil,Apartment,250,Private room,2,1,2,flexible,0,5,0,1125,1,0.0,2019-02-11,Andrea,4,2019-02-11,365,-43.38677907854566,-22.966354670980976
villa maravilla,Spain,Apartment,100,Private room,1,1,2,flexible,0,3,20,1125,1,0.0,2019-03-08,Monica,1,2019-03-08,0,2.11271,41.41055
Working Fireplace in TriBeCa loft,United States,Apartment,70,Private room,1,1,1,moderate,0,14,0,26,1,0.0,2019-03-06,Kristen,1,2019-03-06,0,-74.00493,40.72035
Bright room at the other side of the river,Portugal,Apartment,16,Private room,1,1,2,moderate,40,1,5,30,1,9.0,2019-02-16,Daniela,2,2019-02-16,281,-8.60369,41.12979
"7 guests at ville St-Laurent, with parking spot",Canada,Apartment,95,Entire home/apt,2,3,7,strict_14_with_grace_period,13,2,20,1125,4,9.0,2019-03-11,Elie,2,2019-03-11,26,-73.67791,45.52717
House,Turkey,Apartment,79,Shared room,1,2,2,flexible,0,1,0,7,1,0.0,2019-02-18,Yüksel Erdinç,1,2019-02-18,180,29.03115,41.01955
Le nid douillet.,Canada,Apartment,21,Private room,2,3,4,flexible,0,30,0,90,1,0.0,2019-03-11,Lucie,2,2019-03-11,253,-73.61791,45.54669
Studio located in the best part of the city,Spain,Apartment,110,Entire home/apt,0,1,2,flexible,23,1,0,300,1,10.0,2019-03-08,Georgina,61,2019-03-08,280,2.17745,41.38273
Stylish design 1 bed in the heart of Gracia,Spain,Apartment,25,Entire home/apt,1,1,4,moderate,0,6,0,1125,4,0.0,2019-03-08,Vincenzo & Antonella,1,2019-03-08,329,2.15491,41.40252
Porto Feeling,Portugal,Apartment,75,Entire home/apt,1,2,4,moderate,26,2,5,30,2,10.0,2019-02-16,Cristina,1,2019-02-16,344,-8.60413,41.15393
Kepuhi Beach 1153,United States,Condominium,128,Entire home/apt,1,1,2,super_strict_30,0,1,0,1125,2,0.0,2019-03-06,Molokai Vacation,33,2019-03-06,305,-157.24535,21.18543
Apt with EmpireState view-Subway around the corner,United States,Apartment,80,Entire home/apt,1,1,3,strict_14_with_grace_period,33,2,25,90,2,8.0,2019-03-07,Civan,2,2019-03-07,14,-73.95167,40.69046
Lovely spacious room close to subway and downtown,Canada,Townhouse,34,Private room,1,1,2,flexible,2,2,13,45,1,10.0,2019-03-11,Francis,1,2019-03-11,0,-73.58178,45.4846
